threshold,minLength,maxThickness,mergeGap,minNoiseArea,minWallThickness,score,iou,dice,wallCountAbsError,doorCountAbsError,windowCountAbsError,roomCountAbsError,areaRatio,averageInferenceSeconds
0.4,84,42,6,220,4,11.821746742010964,0.32354615635174755,0.47954727502735833,11.545454545454545,,,,2.3551687862256725,0.1503716636163352
0.45,84,42,6,220,4,11.997067561957435,0.3239615578052766,0.4801938523294956,11.727272727272727,,,,2.3291793387388315,0.15163636817173523
0.35,84,42,6,220,4,12.013655093295363,0.3226356398532962,0.47831037236951135,11.727272727272727,,,,2.3955294640905436,0.15309134545333852
0.45,72,42,6,220,4,12.133486232632118,0.3239239095272422,0.4801531541837932,11.863636363636363,,,,2.3293994759830166,0.15179999999236315
0.4,72,42,6,220,4,12.139983594503828,0.32350896937268253,0.4795070103670167,11.863636363636363,,,,2.355388923469858,0.15058564999013802
0.5,84,42,6,220,4,12.175721429196274,0.32413174015278695,0.4804759880435304,11.909090909090908,,,,2.3165220804214632,0.15785028180636634
0.35,72,42,6,220,4,12.240982854879137,0.3225991109043637,0.4782707152105568,11.954545454545455,,,,2.395749601334729,0.1503684772390195
0.5,72,42,6,220,4,12.266685554416412,0.32409389003772676,0.4804350863050773,12.0,,,,2.3167422176656483,0.15384397726103832
0.4,84,34,6,220,4,12.730837651101874,0.32354615635174755,0.47954727502735833,12.454545454545455,,,,2.3551687862256725,0.1518494636084969
0.45,84,34,6,220,4,12.906158471048345,0.3239615578052766,0.4801938523294956,12.636363636363637,,,,2.3291793387388315,0.15379699089945378
0.5,84,34,6,220,4,12.993903247378093,0.32413174015278695,0.4804759880435304,12.727272727272727,,,,2.3165220804214632,0.15295278180432928
0.5,60,42,6,220,4,13.039440945643758,0.3240759507800784,0.4804149388951018,12.772727272727273,,,,2.3168546916659367,0.1548813863615082
0.45,60,42,6,220,4,13.0426052602231,0.3239061851978826,0.4801332207716229,12.772727272727273,,,,2.329511949983305,0.15153130908517845
0.4,96,42,6,220,4,13.049019469283692,0.32354615635174755,0.47954727502735833,12.772727272727273,,,,2.3551687862256725,0.15103735908103938
0.4,72,34,6,220,4,13.049074503594738,0.32350896937268253,0.4795070103670167,12.772727272727273,,,,2.355388923469858,0.14973842273783786
0.45,96,42,6,220,4,13.087976652866526,0.3239615578052766,0.4801938523294956,12.818181818181818,,,,2.3291793387388315,0.15255259996576404
0.45,72,34,6,220,4,13.088031687177573,0.3239239095272422,0.4801531541837932,12.818181818181818,,,,2.3293994759830166,0.17413209545934064
0.4,60,42,6,220,4,13.094557167549356,0.32349150122744896,0.4794873267868416,12.818181818181818,,,,2.3555013974701464,0.15054643636209553
0.35,60,42,6,220,4,13.104647337015573,0.32258220303713536,0.4782515596909603,12.818181818181818,,,,2.3958620753350175,0.15002927725965326
0.5,72,34,6,220,4,13.130321918052775,0.32409389003772676,0.4804350863050773,12.863636363636363,,,,2.3167422176656483,0.15259574543663554
0.35,84,34,6,220,4,13.150018729659,0.3226356398532962,0.47831037236951135,12.863636363636363,,,,2.3955294640905436,0.15131194087867203
0.35,72,34,6,220,4,13.240982854879137,0.3225991109043637,0.4782707152105568,12.954545454545455,,,,2.395749601334729,0.15031744090480392
0.5,96,42,6,220,4,13.266630520105366,0.32413174015278695,0.4804759880435304,13.0,,,,2.3165220804214632,0.15785844090648674
0.5,60,34,6,220,4,13.403077309280121,0.3240759507800784,0.4804149388951018,13.136363636363637,,,,2.3168546916659367,0.15547214543171736
0.45,60,34,6,220,4,13.451696169314008,0.3239061851978826,0.4801332207716229,13.181818181818182,,,,2.329511949983305,0.1729151181855493
0.35,96,42,6,220,4,13.513655093295363,0.3226356398532962,0.47831037236951135,13.227272727272727,,,,2.3955294640905436,0.15101438634288075
0.4,60,34,6,220,4,13.6400117130039,0.32349150122744896,0.4794873267868416,13.363636363636363,,,,2.3555013974701464,0.1504643954421309
0.35,60,34,6,220,4,13.695556427924663,0.32258220303713536,0.4782515596909603,13.409090909090908,,,,2.3958620753350175,0.15034045454707334
0.45,96,34,6,220,4,14.133431198321071,0.3239615578052766,0.4801938523294956,13.863636363636363,,,,2.3291793387388315,0.15055101362205195
0.45,72,28,6,220,4,14.178940778086663,0.3239239095272422,0.4801531541837932,13.909090909090908,,,,2.3293994759830166,0.16323464089179074
0.4,96,34,6,220,4,14.185383105647327,0.32354615635174755,0.47954727502735833,13.909090909090908,,,,2.3551687862256725,0.1510001318317584
0.5,96,34,6,220,4,14.266630520105366,0.32413174015278695,0.4804759880435304,14.0,,,,2.3165220804214632,0.15925594091161407
0.5,72,28,6,220,4,14.266685554416412,0.32409389003772676,0.4804350863050773,14.0,,,,2.3167422176656483,0.16863353182138366
0.4,72,28,6,220,4,14.32180177632201,0.32350896937268253,0.4795070103670167,14.045454545454545,,,,2.355388923469858,0.15142639543839984
0.35,72,28,6,220,4,14.468255582151864,0.3225991109043637,0.4782707152105568,14.181818181818182,,,,2.395749601334729,0.15230599089673805
0.4,84,28,6,220,4,14.639928560192782,0.32354615635174755,0.47954727502735833,14.363636363636363,,,,2.3551687862256725,0.1502676227140579
0.45,84,28,6,220,4,14.678885743775616,0.3239615578052766,0.4801938523294956,14.409090909090908,,,,2.3291793387388315,0.152858599988659
0.35,96,34,6,220,4,14.695473275113544,0.3226356398532962,0.47831037236951135,14.409090909090908,,,,2.3955294640905436,0.15247153634184293
0.5,84,28,6,220,4,14.721175974650821,0.32413174015278695,0.4804759880435304,14.454545454545455,,,,2.3165220804214632,0.1546824499858882
0.45,60,28,6,220,4,14.860787078404918,0.3239061851978826,0.4801332207716229,14.590909090909092,,,,2.329511949983305,0.15037315000187268
0.35,84,28,6,220,4,14.922746002386273,0.3226356398532962,0.47831037236951135,14.636363636363637,,,,2.3955294640905436,0.1507579727119512
0.5,60,28,6,220,4,14.948531854734666,0.3240759507800784,0.4804149388951018,14.681818181818182,,,,2.3168546916659367,0.16849551363107326
0.35,60,28,6,220,4,15.059192791561028,0.32258220303713536,0.4782515596909603,14.772727272727273,,,,2.3958620753350175,0.15203964544608342
0.4,60,28,6,220,4,15.094557167549356,0.32349150122744896,0.4794873267868416,14.818181818181818,,,,2.3555013974701464,0.15112946362403984
0.35,128,42,6,220,4,15.149891372240965,0.32270398250493293,0.47838898791609813,14.863636363636363,,,,2.395020034418411,0.1522420863673853
0.5,128,42,6,220,4,15.357412253596424,0.32420252551087353,0.4805571061479375,15.090909090909092,,,,2.3160126507493306,0.15649196815105493
0.5,72,24,6,220,4,15.403049190780049,0.32409389003772676,0.4804350863050773,15.136363636363637,,,,2.3167422176656483,0.15092064089416948
0.45,128,42,6,220,4,15.451485659084856,0.324031959299796,0.48027454340461423,15.181818181818182,,,,2.328669909066699,0.1533807454450818
0.45,72,24,6,220,4,15.451668050813936,0.3239239095272422,0.4801531541837932,15.181818181818182,,,,2.3293994759830166,0.15085444545415652
0.4,128,42,6,220,4,15.457983020956567,0.323615899354716,0.4796272791543918,15.181818181818182,,,,2.35465935655354,0.1522691045273942
0.4,72,24,6,220,4,15.594529049049283,0.32350896937268253,0.4795070103670167,15.318181818181818,,,,2.355388923469858,0.15130043180066755
0.35,72,24,6,220,4,15.69552830942459,0.3225991109043637,0.4782707152105568,15.409090909090908,,,,2.395749601334729,0.16862644998631862
0.45,84,24,6,220,4,15.724340289230163,0.3239615578052766,0.4801938523294956,15.454545454545455,,,,2.3291793387388315,0.15215214998037976
0.45,96,28,6,220,4,15.724340289230163,0.3239615578052766,0.4801938523294956,15.454545454545455,,,,2.3291793387388315,0.1509949318292043
0.45,60,24,6,220,4,15.724423442041282,0.3239061851978826,0.4801332207716229,15.454545454545455,,,,2.329511949983305,0.14997173634632913
0.5,84,24,6,220,4,15.812085065559911,0.32413174015278695,0.4804759880435304,15.545454545454545,,,,2.3165220804214632,0.1524046545435505
0.5,60,24,6,220,4,15.81216821837103,0.3240759507800784,0.4804149388951018,15.545454545454545,,,,2.3168546916659367,0.15021376817656512
0.35,60,24,6,220,4,15.8319200642883,0.32258220303713536,0.4782515596909603,15.545454545454545,,,,2.3958620753350175,0.1543798181651668
0.4,84,24,6,220,4,15.86720128746551,0.32354615635174755,0.47954727502735833,15.590909090909092,,,,2.3551687862256725,0.15166094089032744
0.4,60,24,6,220,4,15.867284440276629,0.32349150122744896,0.4794873267868416,15.590909090909092,,,,2.3555013974701464,0.14977380907459353
0.5,96,28,6,220,4,15.902994156469003,0.32413174015278695,0.4804759880435304,15.636363636363637,,,,2.3165220804214632,0.15298136361260814
0.4,96,28,6,220,4,15.9581103783746,0.32354615635174755,0.47954727502735833,15.681818181818182,,,,2.3551687862256725,0.15056896362644198
0.35,128,34,6,220,4,16.149891372240965,0.32270398250493293,0.47838898791609813,15.863636363636363,,,,2.395020034418411,0.15170789090916514
0.35,84,24,6,220,4,16.150018729659,0.3226356398532962,0.47831037236951135,15.863636363636363,,,,2.3955294640905436,0.15568163635378535
0.5,128,34,6,220,4,16.357412253596422,0.32420252551087353,0.4805571061479375,16.09090909090909,,,,2.3160126507493306,0.15489238636589356
0.4,128,34,6,220,4,16.367073930047475,0.323615899354716,0.4796272791543918,16.09090909090909,,,,2.35465935655354,0.1514072727242654
0.45,128,34,6,220,4,16.406031113630313,0.324031959299796,0.48027454340461423,16.136363636363637,,,,2.328669909066699,0.15214514543450522
0.35,96,28,6,220,4,16.513655093295363,0.3226356398532962,0.47831037236951135,16.227272727272727,,,,2.3955294640905436,0.1511945454350842
0.45,96,24,6,220,4,17.087976652866523,0.3239615578052766,0.4801938523294956,16.818181818181817,,,,2.3291793387388315,0.1532596454331228
0.4,96,24,6,220,4,17.27629219655642,0.32354615635174755,0.47954727502735833,17.0,,,,2.3551687862256725,0.15106567726682193
0.5,96,24,6,220,4,17.312085065559913,0.32413174015278695,0.4804759880435304,17.045454545454547,,,,2.3165220804214632,0.16874156362080778
0.5,128,28,6,220,4,17.49377588996006,0.32420252551087353,0.4805571061479375,17.227272727272727,,,,2.3160126507493306,0.1552233408808454
0.35,128,28,6,220,4,17.558982281331875,0.32270398250493293,0.47838898791609813,17.272727272727273,,,,2.395020034418411,0.15387529088713398
0.45,128,28,6,220,4,17.587849295448493,0.324031959299796,0.48027454340461423,17.318181818181817,,,,2.328669909066699,0.15124999089378185
0.4,128,28,6,220,4,17.5943466573202,0.323615899354716,0.4796272791543918,17.318181818181817,,,,2.35465935655354,0.1528167272653346
0.35,96,24,6,220,4,17.786382366022636,0.3226356398532962,0.47831037236951135,17.5,,,,2.3955294640905436,0.1510020545313389
0.5,128,24,6,220,4,19.130139526323696,0.32420252551087353,0.4805571061479375,18.863636363636363,,,,2.3160126507493306,0.18188240454235877
0.4,128,24,6,220,4,19.185255748229295,0.323615899354716,0.4796272791543918,18.90909090909091,,,,2.35465935655354,0.15203078181631016
0.45,128,24,6,220,4,19.22421293181213,0.324031959299796,0.48027454340461423,18.954545454545453,,,,2.328669909066699,0.15146338180850513
0.35,128,24,6,220,4,19.286255008604602,0.32270398250493293,0.47838898791609813,19.0,,,,2.395020034418411,0.15245646362150597
